20733 CONN 17 6 up
20821 CONN 16 26 up
20826 CONN 13 36 up
20868 CONN 17 32 up
20943 CONN 31 37 up
20943 CONN 31 4 up
20944 CONN 13 23 up
20946 CONN 8 23 up
21055 CONN 31 28 up
21055 CONN 31 40 up
21055 CONN 31 34 up
21071 CONN 8 13 up
21079 CONN 26 16 up
21110 CONN 37 24 up
21120 CONN 6 28 up
21158 CONN 4 24 up
21165 CONN 31 2 up
21165 CONN 31 2 down
21166 CONN 31 7 up
21166 CONN 31 18 up
21166 CONN 31 37 down
21166 CONN 31 4 down
21166 CONN 31 28 down
21166 CONN 31 40 down
21166 CONN 31 7 down
21166 CONN 31 18 down
21175 CONN 32 40 up
21193 CONN 26 24 up
21195 CONN 8 36 up
21197 CONN 13 8 up
21242 CONN 24 7 up
21246 CONN 40 24 up
21280 CONN 31 3 up
21280 CONN 31 27 up
21280 CONN 31 21 up
21280 CONN 31 3 down
21280 CONN 31 27 down
21287 CONN 31 33 up
21287 CONN 31 32 up
21287 CONN 31 35 up
21287 CONN 31 34 down
21287 CONN 31 21 down
21287 CONN 31 33 down
21287 CONN 31 32 down
21287 CONN 31 35 down
21294 CONN 35 24 up
21297 CONN 32 6 up
21301 CONN 39 24 up
21302 CONN 26 18 up
21316 CONN 21 34 up
21354 CONN 24 3 up
21367 CONN 27 26 up
21374 CONN 40 18 up
21374 CONN 40 6 up
21395 CONN 38 26 up
21408 CONN 31 29 up
21412 CONN 32 38 up
21413 CONN 9 36 up
21413 CONN 9 23 up
21420 CONN 9 34 up
21420 CONN 39 33 up
21420 CONN 39 0 up
21430 CONN 21 9 up
21445 CONN 23 9 up
21448 CONN 34 21 up
21450 CONN 15 35 up
21452 CONN 34 7 up
21458 CONN 37 34 up
21458 CONN 37 36 up
21459 CONN 6 17 up
21462 CONN 17 40 up
21465 CONN 24 39 up
21465 CONN 24 36 up
21483 CONN 7 23 up
21483 CONN 7 36 up
21483 CONN 7 8 up
21493 CONN 19 32 up
21504 CONN 38 3 up
21504 CONN 38 15 up
21526 CONN 32 3 up
21526 CONN 32 19 up
21529 CONN 9 0 up
21540 CONN 28 10 up
21540 CONN 28 18 up
21540 CONN 39 40 up
21540 CONN 39 4 up
21544 CONN 21 0 up
21552 CONN 26 3 up
21558 CONN 26 38 up
21559 CONN 13 21 up
21559 CONN 13 9 up
21561 CONN 10 3 up
21564 CONN 26 19 up
21564 CONN 34 36 up
21564 CONN 34 23 up
21568 CONN 6 18 up
21570 CONN 15 3 up
21572 CONN 23 34 up
21574 CONN 0 39 up
21574 CONN 0 33 up
21578 CONN 0 28 up
21578 CONN 0 40 up
21578 CONN 18 28 up
21579 CONN 24 18 up
21582 CONN 18 24 up
21582 CONN 18 3 up
21583 CONN 37 40 up
21592 CONN 27 3 up
21593 CONN 8 21 up
21595 CONN 7 4 up
21599 CONN 3 18 up
21601 CONN 3 32 up
21601 CONN 3 38 up
21601 CONN 3 6 up
21601 CONN 3 32 down
21603 CONN 40 22 up
21603 CONN 40 19 up
21603 CONN 40 3 up
21603 CONN 40 18 down
21603 CONN 40 22 down
21603 CONN 40 19 down
21613 CONN 19 38 up
21613 CONN 19 35 up
21613 CONN 19 40 up
21613 CONN 19 10 up
21613 CONN 19 38 down
21613 CONN 19 35 down
21613 CONN 19 40 down
21624 CONN 38 16 up
21624 CONN 38 32 up
21624 CONN 38 18 up
21624 CONN 38 16 down
21624 CONN 38 32 down
21627 CONN 4 0 up
21627 CONN 4 37 up
21627 CONN 4 23 up
21627 CONN 4 34 up
21627 CONN 4 36 up
21627 CONN 4 9 up
21627 CONN 4 0 down
21627 CONN 4 37 down
21627 CONN 4 23 down
21636 CONN 31 29 down
21638 CONN 32 10 up
21638 CONN 32 17 up
21638 CONN 32 40 down
21638 CONN 32 38 down
21638 CONN 32 3 down
21638 CONN 32 10 down
21638 CONN 32 17 down
21645 CONN 35 19 up
21645 CONN 35 3 up
21645 CONN 35 27 up
21645 CONN 35 24 down
21645 CONN 35 19 down
21645 CONN 35 3 down
21649 CONN 9 33 up
21649 CONN 9 4 up
21649 CONN 9 37 up
21649 CONN 9 34 down
21649 CONN 9 0 down
21649 CONN 9 33 down
21649 CONN 9 4 down
21656 CONN 21 28 up
21656 CONN 21 8 up
21656 CONN 21 33 up
21656 CONN 21 40 up
21656 CONN 21 6 up
21656 CONN 21 9 down
21656 CONN 21 0 down
21656 CONN 21 28 down
21656 CONN 21 8 down
21660 CONN 28 13 up
21660 CONN 28 0 up
21660 CONN 28 21 up
21660 CONN 28 33 up
21660 CONN 28 36 up
21660 CONN 28 13 down
21664 CONN 28 34 up
21664 CONN 28 8 up
21664 CONN 28 40 up
21664 CONN 28 0 down
21664 CONN 28 34 down
